source_table,source_record_id,issue_type,issue_category,severity,issue_description,raw_value,suggested_action,created_at,resolution_path,review_status,assigned_to,review_notes,resolved_at,exception_title
raw.vehicle_master_raw,10100,Missing vehicle_id,Completeness,High,Vehicle record is missing vehicle_id. This may affect joins to downstream systems.,"","Use asset_no as temporary clean vehicle key only if asset_no is unique, otherwise review with source owner.",2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Missing vehicle_id | raw.vehicle_master_raw | 10100
raw.vehicle_master_raw,10109,Missing vehicle_id,Completeness,High,Vehicle record is missing vehicle_id. This may affect joins to downstream systems.,"","Use asset_no as temporary clean vehicle key only if asset_no is unique, otherwise review with source owner.",2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Missing vehicle_id | raw.vehicle_master_raw | 10109
raw.vehicle_master_raw,10114,Missing vehicle_id,Completeness,High,Vehicle record is missing vehicle_id. This may affect joins to downstream systems.,"","Use asset_no as temporary clean vehicle key only if asset_no is unique, otherwise review with source owner.",2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Missing vehicle_id | raw.vehicle_master_raw | 10114
raw.vehicle_master_raw,10405,Missing vehicle_id,Completeness,High,Vehicle record is missing vehicle_id. This may affect joins to downstream systems.,"","Use asset_no as temporary clean vehicle key only if asset_no is unique, otherwise review with source owner.",2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Missing vehicle_id | raw.vehicle_master_raw | 10405
raw.maintenance_work_orders_raw,WO-2026-000260,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-07-17 04:45:00; Closed: 2024-07-14 22:45:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-000260
raw.maintenance_work_orders_raw,WO-2026-000296,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-11-19 21:45:00; Closed: 2025-11-16 23:45:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-000296
raw.maintenance_work_orders_raw,WO-2025-000409,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-10-02 22:30:00; Closed: 2024-10-01 16:30:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-000409
raw.maintenance_work_orders_raw,WO-2026-000482,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2026-01-23 09:15:00; Closed: 2026-01-22 02:15:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-000482
raw.maintenance_work_orders_raw,WO-2025-000634,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2024-01-23 23:00:00; Closed: 2024-01-21 19:00:00,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2025-000634
raw.maintenance_work_orders_raw,WO-2026-000734,Closed date before open date,Date Logic,High,"DATETIME_CLOSED occurs before DATETIME_OPEN, making turnaround-time calculations unreliable.",Open: 2025-09-01 07:10:00; Closed: 08/31/2025 09:10,Exclude from cycle-time metrics until corrected by source owner.,2026-05-29 14:57:41,REVIEW_REQUIRED,New,Business Review Team,"",,Closed date before open date | raw.maintenance_work_orders_raw | WO-2026-000734
